pattern_paper_name,n_runs,n_tasks,success_rate,successes,mean_duration_s,median_duration_s,std_duration_s,mean_energy_j,median_energy_j,std_energy_j,mean_total_tokens,median_total_tokens,mean_llm_calls,median_llm_calls,energy_j_per_success
baseline,300,100,0.53,159,416.52351287652,164.207404,402.4711241010206,18806.6235438,6373.6668,23777.691627731696,4974.256666666667,3380.5,1.1933333333333334,1.0,35484.19536566038
memory,300,100,0.36666666666666664,110,586.3388021208,900.0,383.59368381448957,28915.94569728,24664.221,24856.80674821789,3620.5833333333335,2071.5,0.8666666666666667,1.0,78861.6700834909
decomposition,300,100,0.25666666666666665,77,544.9956427137666,485.5476749,343.7897894450063,21621.42252852,14013.225000000002,19236.76912260174,15782.53,11753.5,5.366666666666666,6.0,84239.30855267531
reflection,300,100,0.49,147,537.8065572731334,450.0043336,342.8270914781088,47973.006662399996,19429.3674,53313.297087738385,14156.543333333333,12937.5,2.88,3.0,97904.09522938775
multiplan,300,100,0.44333333333333336,133,434.5644639901,298.7368887,305.95051370041386,18805.862061840002,12928.9932,18108.579887434193,18338.083333333332,14618.5,8.12,8.0,42419.23773347369
